车次,出发站,到达站,出发,到达,历时,商务座,一等座,二等座,硬卧,硬座,无座,可订
G547,北京南,上海虹桥,06:18,12:11,05:53,17,有,有,--,--,有,是
G1,北京南,上海虹桥,06:30,11:24,04:54,14,20,9,--,--,有,是
G3,北京南,上海,06:52,11:33,04:41,11,无,无,--,--,有,是
G565,北京南,上海虹桥,07:07,13:12,06:05,有,有,有,--,--,有,是
G549,北京南,上海虹桥,07:13,13:03,05:50,19,有,有,--,--,有,是
G5,北京,上海,07:42,12:32,04:50,14,无,无,--,--,有,是
G597,北京南,上海虹桥,07:42,13:49,06:07,18,有,有,--,--,有,是
G37,北京南,HGH,07:52,12:35,04:43,9,1,有,--,--,有,是
G5,北京,上海,07:59,12:32,04:33,14,无,1,--,--,有,是
G599,北京南,上海虹桥,08:15,14:14,05:59,16,有,有,--,--,有,是
G633,北京南,上海虹桥,08:37,15:01,06:24,9,有,有,--,--,有,是
G7,北京南,上海虹桥,09:00,13:37,04:37,无,无,无,--,--,有,是
G669,北京南,上海虹桥,09:07,14:59,05:52,12,有,有,--,--,有,是
G643,北京南,上海虹桥,09:18,15:20,06:02,16,有,有,--,--,有,是
G693,北京南,上海虹桥,09:49,15:56,06:07,11,有,有,--,--,有,是
G9,北京南,上海虹桥,10:00,14:35,04:35,6,无,8,--,--,有,是
G11,北京南,上海虹桥,10:03,14:39,04:36,无,无,有,--,--,有,是
G657,北京南,上海虹桥,10:47,16:52,06:05,5,16,有,--,--,18,是
G23,北京南,上海虹桥,11:00,15:37,04:37,6,无,有,--,--,有,是
G735,北京南,上海虹桥,11:13,17:38,06:25,有,有,有,--,--,有,是
G737,北京南,上海虹桥,11:17,17:22,06:05,10,17,有,--,--,有,是
G733,北京南,上海虹桥,11:25,16:59,05:34,13,有,有,--,--,有,是
G741,北京南,上海,11:50,18:02,06:12,14,有,有,--,--,有,是
1461,北京,上海,11:59,06:45,18:46,--,--,--,无,无,有,是
G15,北京南,上海虹桥,12:00,16:38,04:38,2,1,有,--,--,有,是
G2573,北京南,HJU,12:11,19:58,07:47,6,13,无,--,--,有,是
G745,北京南,上海虹桥,12:21,18:21,06:00,7,有,有,--,--,有,是
G747,北京南,上海虹桥,12:47,18:58,06:11,20,有,有,--,--,有,是
G17,北京南,上海,13:00,17:35,04:35,6,1,无,--,--,有,是
G749,北京南,上海虹桥,13:19,19:04,05:45,7,有,有,--,--,有,是
G19,北京南,上海虹桥,14:00,18:32,04:32,无,无,有,--,--,有,是
G795,北京南,上海虹桥,14:13,20:05,05:52,18,有,有,--,--,18,是
G799,北京南,上海虹桥,14:26,20:50,06:24,15,有,有,--,--,有,是
G751,北京南,上海虹桥,14:56,20:33,05:37,19,有,有,--,--,有,是
G21,北京南,上海虹桥,15:00,19:34,04:34,4,无,有,--,--,有,是
G801,北京南,上海虹桥,15:07,21:10,06:03,10,有,有,--,--,有,是
G803,北京南,EPH,15:42,22:19,06:37,7,有,有,--,--,有,是
G13,北京南,上海虹桥,16:00,20:28,04:28,14,有,有,--,--,有,是
G805,北京南,上海虹桥,16:30,23:11,06:41,18,有,有,--,--,有,是
G25,北京南,上海虹桥,17:00,21:18,04:18,10,有,有,--,--,有,是
G27,北京南,上海虹桥,17:04,21:36,04:32,18,有,有,--,--,有,是
G807,北京南,上海虹桥,17:19,23:25,06:06,6,有,有,--,--,有,是
G809,北京南,上海虹桥,17:31,23:46,06:15,有,有,有,--,--,有,是
G29,北京南,上海,18:00,22:43,04:43,14,有,有,--,--,有,是
G31,北京南,上海虹桥,18:04,22:58,04:54,15,有,有,--,--,有,是
G33,北京南,上海,19:00,23:35,04:35,11,有,有,--,--,有,是
D17,北京,HZH,19:10,07:31,12:21,--,--,有,有,--,有,是
Z281,BTC,HZH,19:21,08:44,13:23,--,--,--,无,无,有,是
G35,北京南,上海虹桥,19:24,23:51,04:27,17,16,有,--,--,有,是
D7,北京丰台,上海,19:32,07:25,11:53,--,--,有,有,--,有,是
D9,北京南,上海南,19:36,08:00,12:24,--,--,有,有,--,--,是
T109,北京,上海,20:04,11:02,14:58,--,--,--,无,无,有,是
D5,北京,上海,21:21,09:27,12:06,--,--,有,有,--,有,是
D11,北京南,HZH,21:22,09:45,12:23,--,--,无,有,--,--,是
